Path,Verified,Publisher,Company,Description,Product,MD5,SHA256,group_count
c:\windows\system32\DriverStore\FileRepository\vboxguest.inf_amd64_neutral_c50a273df32834ff\VBoxTray.exe,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Guest Additions Tray Application,Oracle VM VirtualBox Guest Additions,B805884EB686D79D221A66667567C046,D935312323C2B4B66DB80D2567C8ADBAB744E4F94B6B481683369F6E64F70D25,2
c:\windows\system32\DriverStore\FileRepository\vboxvideo.inf_amd64_neutral_1f98f97b83629017\VBoxDisp.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Display Driver,Oracle VM VirtualBox Guest Additions,BE76A70FD2C9B12DE650C6BCCAD61D35,C139D2E2A8B348ABAE0F6FB8FDAF672B9150E94DA6E888430472AAAE0A49F249,2
c:\windows\system32\DriverStore\FileRepository\vboxvideo.inf_amd64_neutral_1f98f97b83629017\VBoxVideo.sys,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Video Driver,Oracle VM VirtualBox Guest Additions,D9C939D83BF396B753A695632F6C3425,4DDD588C582DAB42466E334D89B1DC3A9FBD181384C6F8D7F115BD13430CB244,2
c:\windows\system32\VBoxDisp.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Display Driver,Oracle VM VirtualBox Guest Additions,BE76A70FD2C9B12DE650C6BCCAD61D35,C139D2E2A8B348ABAE0F6FB8FDAF672B9150E94DA6E888430472AAAE0A49F249,2
c:\windows\system32\drivers\VBoxVideo.sys,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Video Driver,Oracle VM VirtualBox Guest Additions,D9C939D83BF396B753A695632F6C3425,4DDD588C582DAB42466E334D89B1DC3A9FBD181384C6F8D7F115BD13430CB244,2
c:\windows\system32\DriverStore\FileRepository\vboxguest.inf_amd64_c50a273df32834ff\VBoxControl.exe,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Guest Additions Utility,Oracle VM VirtualBox Guest Additions,E4ADC2361421261E13D5C778A5934226,52F6EF045534504B4C24D95E93B62D7AB4CDCA818955ED2EF2B5994085238745,1
c:\windows\system32\DriverStore\FileRepository\vboxguest.inf_amd64_c50a273df32834ff\VBoxGuest.sys,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Guest Driver,Oracle VM VirtualBox Guest Additions,E4D292BA872F5EB730073078212A2627,DCF1AD6A9099FBB22BCDE723C41347B49A55D270FD47AE2E9427D668FF086131,1
c:\windows\system32\DriverStore\FileRepository\vboxguest.inf_amd64_c50a273df32834ff\VBoxTray.exe,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Guest Additions Tray Application,Oracle VM VirtualBox Guest Additions,B805884EB686D79D221A66667567C046,D935312323C2B4B66DB80D2567C8ADBAB744E4F94B6B481683369F6E64F70D25,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxD3D9wddm-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Wine D3D9 (WDDM),Oracle VM VirtualBox Guest Additions,8273EB179D5ED758733DD34FB7E21AEA,1EB3E9406EEB75BC2E00BFC76368413D84C97EDA88DBE5AE649AAF5E7FE62DB3,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxD3D9wddm.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Wine D3D9 (WDDM),Oracle VM VirtualBox Guest Additions,4D125CF39A82CF328E6F1F1EC21CB181,B3939CD4E58321E6E8917127D842B9A35CB8E3B57FCF36886CC2E014E5E24347,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxDispD3D-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Video Usermode D3D Driver,Oracle VM VirtualBox Guest Additions,DAA18A637A31C66990FAFB17C059ADC7,ADFFAA41E1114B03FB1BD367A3F906327784214D395D1C04DBEA88D84B587AE7,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxDispD3D.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox Video Usermode D3D 64-bit Driver,Oracle VM VirtualBox Guest Additions,9C568C6672ACC5AC2CAFB32652FCDE37,728E42E52F96DEEAFE5545259B955C7BCF606913604AFC1ACD073D51678DDD41,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxGL-x86.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox OpenGL Mesa State Tracker,Oracle VM VirtualBox Guest Additions,D33311C48093ECCAE03E771DFD2DE6FB,EC6E06E078D65070C3534E7A1976FF7AEE2C74ABA6A15B26FB54F536BC8373BD,1
c:\windows\system32\DriverStore\FileRepository\vboxwddm.inf_amd64_ec29ed0af7521b99\VBoxGL.dll,Signed,Oracle Corporation,Oracle Corporation,VirtualBox OpenGL Mesa State Tracker,Oracle VM VirtualBox Guest Additions,BC16BFD76F158E2D56952D5EC968B5D0,70DEA79BA73CA0F7E49C439ED6D3D9713B705C434E8804A183BACF197A28541F,1
