Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"c:\windows\system32\adsldp.dll","Signed","7:57 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","ADs LDAP Provider DLL","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","0488E461EEE18F5CFCE7C1774BBFCBB3","4E9FC51408D1DE75582CC6887CA8EF3B97778A26","544F061692938970F5B567C7DA1CAD4CF729B940","108E61C0AD206820C9AEB39DDBFA1AA27FB62E01E56FA748FA5A7729EBFDE485","AE7BF9A458547DE3454958320CA97F65EF03430825117C96E53D8D53C7450E17","4F5482C37078609343395FCE9E571569"
"c:\windows\system32\adsldpc.dll","Signed","7:57 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","ADs LDAP Provider C DLL","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","E7CD6B5449030F4F9B29C742664B63B3","B173A5EA39819F17C5B89A846B040AF2EF3BC8B4","BD0D1DF124524290BB1C9662AEA01ACCF5212F09","B97BE4D49CFAC727EDD852D4F15297B237A8D9A65723B14EFBD0DE5263F67B29","290C95E4865E4F72EB849C458F8AE76BB31F86D20C9C02D2BDF075CA653D6E12","0618CA6E12D3BE7E3B405246A2E46C34"
"c:\windows\system32\adsmsext.dll","Signed","7:57 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","ADs LDAP Provider DLL","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","6DBDE9E3B0FCDC33A4CA44D4890650B7","79B264100CE9FBCD855BBC5519766ABFEDD9BF41","A7209DFEDE3647061810A3E4BA3F86CA930132A6","AE342B6D47D81A01C161836698E1807F0E3B8B2C708D56A17C7EB5661E9B0925","6B2A7F0566A3884E6DDEAA7C54CD5DF386B84D572583CD06B4E5DCF6F164EC65","968D72372D3D9616D16739FC88F8C73D"
"c:\windows\system32\adsnt.dll","Signed","7:57 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","ADs Windows NT Provider DLL","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","07301F67042C0C68125C382E3995774C","8C5A065782D7BC893CBD739880D66F75C83DF2C1","5DEBABDA31A704AE5B12212D04F2BB589E12EA6C","F7D05B7D3A9DE45AC3B6EC2B8F86D337523639F63B8454FCAC949DA6A0BDF1C8","5CFB1DAA5313D414232426D4F42811F8537BEE2BFAFE74AF1E4AA3B0C5A64D9B","1ACBD7B49DE98AFA0032A1C73813874B"
"c:\windows\system32\adtschema.dll","Signed","7:55 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Security Audit Schema DLL","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","4AA13F3AE1CBB7C847EE0C16F4B0BBEE","7F4927DDE3C7085874A30F7771C848A4909B0F8D","A52ED31EF449D529952CB6DCD3F510AA4987639F","E7D97B6B4128DB8F93FFEA7DAE173DB182591EBC1C8D878FFC08BA14ED675FAC","FF22D88BDC22510E7B0CDC7D4A2D3EB7AD2C66DE41E76A300D8E5236C753E18A","n/a"
"c:\windows\system32\advapi32.dll","Signed","10:46 AM 2/22/2014","Microsoft Windows","Microsoft Corporation","Advanced Windows 32 Base API","Microsoft® Windows® Operating System","6.3.9600.17031","6.3.9600.17031 (winblue_gdr.140221-1952)","64-bit","561F1AB95F4F01C691BDABA5FD5C67FC","C446DE5692D5CA9B7DAEE0F0A48FC6A575F8FE3A","B151D55A1360D4AF9C75EC953A3E14195F039391","C8C04114D5AF905002CCD6A4A3F87167D32A6693F725FD0C9EC8168F6B22A930","4C6184C1A72B2F84BB1CA5A72F89CC44F9F37FF225D834EBCEFF26F820635BED","973A8CDB39A3DB10C284AFB640B793B3"
"c:\windows\system32\advapi32res.dll","Signed","8:00 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Advanced Windows 32 Base API","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","9D27E755C46783E1E016C5BE28D8B0DF","D9780AB14C9F49E0D3AEE3E69F33419D120AB478","5C661EA3855AFD04F2242E43B50F27F9F8FAA268","A388548B41BAE1CC673AC9F7D4DD5157E25B04C6A67BDA38CE284EC1251C09EC","70794443B119C4A5446D5C8F4C0D477CDF5963A0FBE8EB8608B5246343CC2521","n/a"
"c:\windows\system32\advpack.dll","Signed","7:42 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","ADVPACK","Internet Explorer","11.00.9600.16384","11.00.9600.16384 (winblue_rtm.130821-1623)","64-bit","35F57F3C64A0E744F097159936DE3942","1EC230C30D6FF7BBF04A44CF59EE9640B4D75FF0","5DCED222FFA85C39EA1056F75BFD2A95B081E7AB","27EB91EA6399320C9FB12B826690AD0BC5DE3DCB16622493BD44929E882BB263","8F1255458DF7244ADBCD103462C7B1EB5B3E355410ECC66228D5B339D7BE3ACB","3725167B553F06D231FE77223491BF0C"
"c:\windows\system32\aecache.dll","Signed","8:07 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","AECache Sysprep Plugin","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","985FCC556A0A6E6C57BF9AD932B7FD77","7C99FBF45A4CB9E3EB642131EAA47D405E4B883F","50D489BC46EE4778740C3BCB23186758D7082CF9","905826F41DE199F5B8D23BF880F2D5D468EA3B4BFDC956C876DF2AD4F93A81DC","AA0612BFEFC08E7BB234737E6BB5D2F9F6407B960A6FB4ACC0710A9EBA079235","2658C11713B13D61A6E2DE17F1E64333"
"c:\windows\system32\aeevts.dll","Signed","8:08 AM 8/22/2013","Microsoft Windows","Microsoft Corporation","Application Experience Event Resources","Microsoft® Windows® Operating System","6.3.9600.16384","6.3.9600.16384 (winblue_rtm.130821-1623)","64-bit","B33F85A7BA316694E46D6965BFCB1109","B16CD83211E0BF50B7D75699268AA76C41A4CEF1","F25B4E8A6BDDE2A48E2072793C9F45BB4C75F748","797D1A65E3D8C0214835FAEC0BBE1C5C5DBBC4AAA83EC2A7C59760841868B2C9","89EF3A610F73C71DC49EC52A4CCA1B778A5B399BD38732FD27AC268C28B6682C","n/a"
