Path,Verified,Date,Publisher,Company,Description,Product,Product Version,File Version,Machine Type,MD5,SHA1,PESHA1,PESHA256,SHA256,IMP
"c:\windows\system32\advpack.dll","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","ADVPACK","Windows® Internet Explorer","8.00.7600.16385","8.00.7600.16385 (win7_rtm.090713-1255)","64-bit","5FBD7BEC6CD3DCAA6A87A7F70CE8AF44","A7E463C616EC12066F23998D4CA3EDE0FF276721","807CD0A42A9E80D99F34EA58B7CF4E1F06D03D3D","40F38F7C778195EFA509596580DE1F662B00FC2233F5CB1EF4C884A6D100C035","24031667D5F437AAD5BA9BA6B14B0A939723F054096BBE19AB1EAE4F489528E0","1F8551ACCAE765F4DB2C91FBA54EE156"
"c:\windows\system32\aecache.dll","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","AECache Sysprep Plugin","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","E8534816AAE70F77330060EE2CD93580","E0D94372C07AEC32BF18673B44C466CF67F7FAB8","6F49927912B494D632182C9BFCC68B3B7417FE33","D7858F1A9E19A4E3D66A8871D1848ABEA5AA1D0632237D656842188E89713DA1","083AC2CB4A739B3A67524EA7E12AD7FE54BAD44F052535DE0B0356AB4C32B70D","170577D7E36A4ADE226A241FE1707FB6"
"c:\windows\system32\aeevts.dll","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","Application Experience Event Resources","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","210FCACAF902B2CD47CF9FD17D846146","537C73D9E496F9579B3E9710BE959E0054B3975A","10E570A3CD5E4D47C30C1E7EFB8706F13BFE749E","3767A90261160A6FE76BD5B2D6173E10317BB94259AC65E3A4055D94FB66122C","3F77AC721E084864C5966FF5337A90185F62203DC19C685328675500D629CB87","n/a"
"c:\windows\system32\aeinv.dll","Signed","5:47 PM 9/4/2019","Microsoft Windows","Microsoft Corporation","Application Inventory Component","Microsoft® Windows® Operating System","10.0.18362.1015","10.0.18362.1015 (WinBuild.160101.0800)","64-bit","430CC262B1D1E48454A0CF3CC49C3D9E","63AB6AAE387C41D1BA69E299389002F1CDFECD9F","FCB8D7C13804E43A7ECC8B998E8EEED158D46772","7A5ED4DD19BC0C560C911A582AE862CB2A92F3A368482B167A953EA2430CEE99","EA7D793DAF60599F13EB618FF8A3CE31C6A5E8B459C2F4EFB018994A2B1521B8","07E0A5251B4A9AA6D984E9F5A730703B"
"c:\windows\system32\aelupsvc.dll","Signed","9:43 PM 10/29/2015","Microsoft Windows","Microsoft Corporation","Application Experience Service","Microsoft® Windows® Operating System","6.1.7601.19050","6.1.7601.19050 (win7sp1_gdr.151029-0600)","64-bit","262D7C87D0AC20B96EF9877D3CA478A0","C24256673AB64C88CE379FC5331030D850E89DD2","964343CEF8BD76CE048E487B2F6716F4CCE102BA","58095EF4A7195CB9167D73B8AF565329285E4508DA3BD9C7F21D01E3457A2700","54F7E5A5F8991C5525500C1ECCF3D3135D13F48866C366E52DF1D052DB2EE15B","F94B9D84173DEB3198A9CAFB4DF4C600"
"c:\windows\system32\aepic.dll","Signed","5:47 PM 9/4/2019","Microsoft Windows","Microsoft Corporation","Application Experience Program Cache","Microsoft® Windows® Operating System","10.0.18362.1015","10.0.18362.1015 (WinBuild.160101.0800)","64-bit","92EC9AED7356096634175C600758F3F8","53CBF82A81901634943E33CB02590E6B5BE8A50E","114BBF5CFED92C267E29A302F9E42EE44E5CCBD6","21B42791FD0E25357103B8AEB135E74AA5BD738ACE49EBA0804A252E4EC6DC5A","9E1AC1D28F0B02388AD95B720426D1950ACEBDF465CCDBCE353F740E89816AD5","297BDB8229F94B12756EDF88EC63A8BE"
"c:\windows\system32\aitagent.exe","Signed","2:37 PM 11/20/2010","Microsoft Windows","Microsoft Corporation","Application Impact Telemetry Agent","Microsoft® Windows® Operating System","6.1.7601.17514","6.1.7601.17514 (win7sp1_rtm.101119-1850)","64-bit","DDB88D0BB116D468B2B3EFBB6E3D6D06","394F401FDD0B47AEE24B928785BE2C8F3A38EDBF","DBAE55792E4D2CC799B7318D768534BDEB9FF92B","5B3E44972AB3D72D43EAA797B0DA45C80EFBB70615FACA44EE5A1BB7542299FA","AAF48B577885D37A63604E01D5190C1F36705B5E26C4231ABEE42E86F11EDEB0","9ACD61B6DF57F7B730FC31AF5958F742"
"c:\windows\system32\aitstatic.exe","Signed","5:46 PM 9/4/2019","Microsoft Windows","Microsoft Corporation","Application Impact Telemetry Static Analyzer","Microsoft® Windows® Operating System","10.0.18362.1015","10.0.18362.1015 (WinBuild.160101.0800)","64-bit","9814E5FF26B1D416EC3BB059F1C6876E","BB2900FAED81F57888C4AECDC0A43284EAC5F772","4B8AE84B4422B3A328E443E7AA3E4188499D9911","73FC4B87B00672660723463165A7C80CF6B9ABDD0E4D792EE9E3E9FE48F60A2D","5C99A13FACCC115364F7D398E236C8F68DC2185894B68975FF9B9B010EACCA37","EDDF29389FA2B9CA07B8B79CE911A8D9"
"c:\windows\system32\alg.exe","Signed","10:17 PM 7/13/2009","Microsoft Windows","Microsoft Corporation","Application Layer Gateway Service","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","3290D6946B5E30E70414990574883DDB","BE0144E3235FFDE0787E9F1CD34C828EC87D8E19","C11E33EF06384D8B9FEE83391F123E33E409AB4A","3A66F54579DC37FA72F6F56FCC452003AA949FB0A25689F15D7318BD3853B6B1","0E9294E1991572256B3CDA6B031DB9F39CA601385515EE59F1F601725B889663","1F6CBFB8AA32847B01FD3E7E70D29D61"
"c:\windows\system32\AltTab.dll","Signed","2:35 PM 11/20/2010","Microsoft Windows","Microsoft Corporation","Windows Shell Alt Tab","Microsoft® Windows® Operating System","6.1.7600.16385","6.1.7600.16385 (win7_rtm.090713-1255)","64-bit","E7368F0A8D19445EAF5C5D0DBB8B8DAB","1E2855F4D42D53349EF65290B237FA195FF1F49B","DC047E5330A24E263D13D16DED02AE2ADAE22E9D","A2D050403303B3D0398F7341D447AFA012F0987F07163643D94E28D780D64DEA","CF9082360E32A7C3E13A67AC2C6192F4A76870D43DA9FF2936993A637F712761","A62F4F3AA8DC173041ABE1DA35D45032"
"c:\windows\system32\amcompat.tlb","Signed","2:36 PM 11/20/2010","Microsoft Windows","Microsoft Corporation","Microsoft ActiveMovie Control Type Library","Microsoft(R) Windows Media Player","12.0.7600.16385","12.0.7600.16385","64-bit","A6F2FA1003AB374CDB716BF052C6FAA0","0EBAF038309967D8CF2D4B144FB602C6BE0ADBC7","6B5C2FE77915CF859C3EE9679DAB5E6CD08204A0","E80CC5B1575A39A8D04DCE17CFA94441D8FFF0948EAA68E5C3A544157BA5B4DE","3DE01683AD222A3B9898D71DE876946DD2D0EDB963086B234CFD6723CD6FA71F","n/a"
